Name,Year,Duration,Rating,Reviews
Indiana Jones and the Last Crusade,1989,2h 7m,8.2,(851K)
The Sting,1973,2h 9m,8.2,(295K)
A Clockwork Orange,1971,2h 16m,8.2,(924K)
Metropolis,1927,2h 33m,8.3,(198K)
Snatch,2000,1h 42m,8.2,(961K)
1917,2019,1h 59m,8.2,(748K)
Oppenheimer,2023,3h,8.3,(954K)
L.A. Confidential,1997,2h 18m,8.2,(650K)
Downfall,2004,2h 36m,8.2,(394K)
Bicycle Thieves,1948,1h 29m,8.2,(189K)
Dangal,2016,2h 41m,8.3,(234K)
The Wolf of Wall Street,2013,3h,8.2,(1.7M)
The Truman Show,1998,1h 43m,8.2,(1.3M)
Green Book,2018,2h 10m,8.2,(660K)
Batman Begins,2005,2h 20m,8.2,(1.7M)
Hamilton,2020,2h 40m,8.3,(134K)
Taxi Driver,1976,1h 54m,8.2,(1M)
For a Few Dollars More,1965,2h 12m,8.2,(295K)
Shutter Island,2010,2h 18m,8.2,(1.6M)
Judgment at Nuremberg,1961,2h 59m,8.3,(94K)
Some Like It Hot,1959,2h 1m,8.2,(300K)
Jurassic Park,1993,2h 7m,8.2,(1.2M)
There Will Be Blood,2007,2h 38m,8.2,(690K)
The Kid,1921,1h 8m,8.2,(144K)
The Father,2020,1h 37m,8.2,(221K)
All About Eve,1950,2h 18m,8.2,(147K)
The Chaos Class Failed the Class,1975,1h 35m,8.6,(29K)
The Sixth Sense,1999,1h 47m,8.2,(1.1M)
Ran,1985,2h 40m,8.2,(148K)
Casino,1995,2h 58m,8.2,(606K)
No Country for Old Men,2007,2h 2m,8.2,(1.2M)
The Thing,1982,1h 49m,8.2,(513K)
One Battle After Another,2025,2h 41m,8.2,(131K)
Top Gun: Maverick,2022,2h 10m,8.2,(811K)
Unforgiven,1992,2h 10m,8.2,(461K)
Pan's Labyrinth,2006,1h 58m,8.2,(735K)
Kill Bill: Vol. 1,2003,1h 51m,8.2,(1.3M)
Prisoners,2013,2h 33m,8.2,(902K)
A Beautiful Mind,2001,2h 15m,8.2,(1M)
The Treasure of the Sierra Madre,1948,2h 6m,8.2,(139K)
Howl's Moving Castle,2004,1h 59m,8.2,(498K)
Finding Nemo,2003,1h 40m,8.2,(1.2M)
Yojimbo,1961,1h 50m,8.2,(141K)
The Great Escape,1963,2h 52m,8.2,(273K)
Monty Python and the Holy Grail,1975,1h 31m,8.2,(596K)
The Elephant Man,1980,2h 4m,8.2,(278K)
The Best of Youth,2003,6h 14m,8.4,(27K)
Klaus,2019,1h 36m,8.2,(222K)
Dial M for Murder,1954,1h 45m,8.2,(201K)
Gone with the Wind,1939,3h 58m,8.2,(352K)
The Secret in Their Eyes,2009,2h 9m,8.2,(238K)
Chinatown,1974,2h 10m,8.1,(371K)
"Lock, Stock and Two Smoking Barrels",1998,1h 47m,8.1,(643K)
V for Vendetta,2005,2h 12m,8.1,(1.2M)
Demon Slayer: Kimetsu no Yaiba- The Movie - Infinity Castle,2025,2h 35m,8.5,(50K)
Rashomon,1950,1h 28m,8.1,(193K)
Inside Out,2015,1h 35m,8.1,(890K)
Catch Me If You Can,2002,2h 21m,8.1,(1.2M)
"Three Billboards Outside Ebbing, Missouri",2017,1h 55m,8.1,(594K)
Trainspotting,1996,1h 33m,8.1,(759K)
The Bridge on the River Kwai,1957,2h 41m,8.1,(246K)
Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m,8.1,(1M)
Raging Bull,1980,2h 9m,8.1,(403K)
Fargo,1996,1h 38m,8.1,(768K)
Warrior,2011,2h 20m,8.1,(522K)
The Wild Robot,2024,1h 42m,8.2,(203K)
Dead Poets Society,1989,2h 8m,8.1,(620K)
Million Dollar Baby,2004,2h 12m,8.1,(756K)
Ben-Hur,1959,3h 32m,8.1,(267K)
Mad Max: Fury Road,2015,2h,8.1,(1.2M)
Barry Lyndon,1975,3h 5m,8.1,(199K)
Gran Torino,2008,1h 56m,8.1,(851K)
My Neighbor Totoro,1988,1h 26m,8.1,(419K)
Hacksaw Ridge,2016,2h 19m,8.1,(658K)
Children of Heaven,1997,1h 29m,8.2,(88K)
The Grand Budapest Hotel,2014,1h 39m,8.1,(946K)
12 Years a Slave,2013,2h 14m,8.1,(775K)
Before Sunrise,1995,1h 41m,8.1,(368K)
Blade Runner,1982,1h 57m,8.1,(868K)
Spider-Man: No Way Home,2021,2h 28m,8.2,(985K)
Memories of Murder,2003,2h 12m,8.1,(254K)
Ratatouille,2007,1h 51m,8.1,(913K)
How to Train Your Dragon,2010,1h 38m,8.1,(871K)
Gone Girl,2014,2h 29m,8.1,(1.1M)
"Monsters, Inc.",2001,1h 32m,8.1,(1M)
Jaws,1975,2h 4m,8.1,(721K)
In the Name of the Father,1993,2h 13m,8.1,(200K)
Ford v Ferrari,2019,2h 32m,8.1,(548K)
Wild Tales,2014,2h 2m,8.1,(234K)
The Gold Rush,1925,1h 35m,8.1,(126K)
Sherlock Jr.,1924,45m,8.1,(64K)
Mary and Max,2009,1h 32m,8.1,(199K)
The Deer Hunter,1978,3h 3m,8.1,(381K)
The Wages of Fear,1953,2h 36m,8.1,(72K)
The General,1926,1h 18m,8.1,(104K)
Logan,2017,2h 17m,8.1,(908K)
Mr. Smith Goes to Washington,1939,2h 9m,8.1,(128K)
On the Waterfront,1954,1h 48m,8.1,(175K)
Rocky,1976,2h,8.1,(674K)
Wild Strawberries,1957,1h 32m,8.1,(123K)
Tokyo Story,1953,2h 17m,8.1,(76K)
Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,8.1,(1.3M)
The Third Man,1949,1h 44m,8.1,(192K)
Spotlight,2015,2h 9m,8.1,(527K)
Maharaja,2024,2h 21m,8.3,(76K)
The Terminator,1984,1h 47m,8.1,(983K)
La haine,1995,1h 38m,8.1,(219K)
The Big Lebowski,1998,1h 57m,8.1,(904K)
Jai Bhim,2021,2h 44m,8.6,(231K)
The Seventh Seal,1957,1h 36m,8.1,(213K)
Room,2015,1h 58m,8.1,(474K)
The Sound of Music,1965,2h 54m,8.1,(284K)
Hotel Rwanda,2004,2h 1m,8.1,(388K)
The Best Years of Our Lives,1946,2h 50m,8.1,(76K)
Platoon,1986,2h,8.1,(464K)
Before Sunset,2004,1h 20m,8.1,(308K)
A Silent Voice: The Movie,2016,2h 10m,8.2,(131K)
